CM,Commodity,ID,Mine_Name,Operator_Name,State,Status,Type
M ,Construction Sand and Gravel ,2602570,COUNTY FAIRE TEMP GRAVEL PIT,PAPA'S DIRT WORKES  ,NV ,Abandoned ,Surface
M ,Construction Sand and Gravel ,2402503,Robison Mine,Paydirt Exc Inc  ,MT ,Abandoned ,Surface
C ,Coal (Bituminous) ,4407296,Mine No. 6,PB Dirt Movers  ,VA ,Temporarily Idled ,Underground
C ,Coal (Bituminous) ,1519273,Blair Face Up,PB Dirt Movers Inc.  ,KY ,Abandoned ,Surface
C ,Coal (Bituminous) ,4407270,Surface Mine No. 1,"PB Dirt Movers, Inc  ",VA ,Abandoned ,Surface
M ,Construction Sand and Gravel ,4102682,Peveto Pit,Peveto Dirt Pit  ,TX ,Abandoned ,Surface
M ,Construction Sand and Gravel ,0801259,PIT #1,"Phil-Dirt Industries, Inc  ",FL ,Abandoned ,Surface
M ,Construction Sand and Gravel ,0203332,Sandretto Drive,"Prescott Dirt, LLC  ",AZ ,Intermittent ,Surface
M ,"Crushed, Broken Limestone NEC ",0302015,Martins Quarry,R & R Dirtworks  ,AR ,Abandoned ,Surface
M ,Construction Sand and Gravel ,2901986,R D BLANKENSHIP DIRT WORK,R D Blankenship Dirt Work LLC  ,NM ,Active ,Surface
M ,Construction Sand and Gravel ,1601127,Reeves Dirt Pit Incorporated,Reeves Dirt Pit Inc  ,LA ,Abandoned ,Surface
M ,"Sand, Common ",4105017,River Bottom Dirt,River Bottom Dirt  ,TX ,Abandoned ,Surface
M ,Construction Sand and Gravel ,1600986,Roe'S Dirt Pit,Roe'S Dirt Pit  ,LA ,Abandoned ,Surface
M ,Construction Sand and Gravel ,4103324,Pine Ridge Pit,Russell Trest-Dirt Contractor  ,TX ,Abandoned ,Surface
M ,Construction Sand and Gravel ,4202013,Stahr Portable Crusher,S J Stahr Dirt Movers Inc  ,UT ,Abandoned ,Surface
M ,"Sand, Common ",0801417,Molino Pit,"Sand & Dirt, Inc  ",FL ,Active ,Surface
M ,"Sand, Common ",0801371,CENTURY PIT,"Sand and Dirt, Inc.  ",FL ,Abandoned ,Surface
M ,Construction Sand and Gravel ,2402115,Sierra Rock & Dirt Inc,"Sierra Rock & Dirt, Inc.  ",MT ,Abandoned ,Surface
M ,Construction Sand and Gravel ,4300748,Simpson Sand and Gravel,Simpson Dirtworx llc  ,VT ,Abandoned ,Surface
M ,Construction Sand and Gravel ,4300768,Pettibone Jaw Crusher,SIMPSON DIRTWORX LLC  ,VT ,Intermittent ,Surface
M ,Construction Sand and Gravel ,4300776,Chieftan 1400,SIMPSON DIRTWORX LLC  ,VT ,Intermittent ,Surface
M ,Construction Sand and Gravel ,0103209,SLAY PIT,Slay'S Dirt Hauling  ,AL ,Abandoned ,Surface
M ,Construction Sand and Gravel ,1601159,Southside Dirt Pit,Southside Dirt Company  ,LA ,Abandoned ,Surface
M ,Construction Sand and Gravel ,2302283,Mike's Money Pit,"Spry's Dirt & Gravel, Inc.  ",MO ,Intermittent ,Surface
M ,Construction Sand and Gravel ,4102586,Stewart Pit,Stewart Dirt Pit  ,TX ,Abandoned ,Surface
M ,"Crushed, Broken Stone NEC ",4104475,Stewart Dirt Work Inc - Hanna Pit,"Stewart Dirt Work, Inc.  ",TX ,Abandoned ,Surface
M ,Construction Sand and Gravel ,3800617,Highway 642 Dirt Pit,Sweat'S Dirt Hauling Inc  ,SC ,Abandoned ,Surface
M ,Construction Sand and Gravel ,1601234,Toler Roe Dirt Pit,Toler Roe Dirt Pit  ,LA ,Abandoned ,Surface
M ,Construction Sand and Gravel ,4104648,La Calichera Pit,"Tres Palacios Dirt, Sand & Gravel  ",TX ,Abandoned ,Surface
M ,Construction Sand and Gravel ,2103518,Crusher,Vogt Dirt Service  ,MN ,Intermittent ,Surface
M ,Construction Sand and Gravel ,1601292,ADDISON LEASE,Watson Dirt Sand & Gravel Pit Inc  ,LA ,Abandoned ,Surface
M ,Construction Sand and Gravel ,4103429,Y B Mine,Y B Dirt & Loam  ,TX ,Abandoned ,Surface
M ,Construction Sand and Gravel ,4103264,Yarbrough Dirt Pit #1,Yarbrough Dirt Pit Inc  ,TX ,Abandoned ,Surface
M ,"Crushed, Broken Stone NEC ",3503598,Newberg Rock & Dirt,Newberg Rock & Dirt  ,OR ,Active ,Surface
M ,Construction Sand and Gravel ,0502030,Allied Dirt Moving Co Pit & Plant,Allied Dirt Moving Company  ,CO ,Abandoned ,Surface
M ,Construction Sand and Gravel ,4801789,AM Dirtworks & Aggregate Sales,AM Dirtworks & Aggregate Sales  ,ND ,Abandoned ,Surface
C ,Coal (Bituminous) ,4201449,Unit Train Loading Facility,Atlas-Dirty Devil Mining  ,UT ,Abandoned ,Facility
C ,Coal (Bituminous) ,4201450,Blackie Surface Mine & Prep Plant,Atlas-Dirty Devil Mining  ,UT ,Abandoned ,Surface
M ,Construction Sand and Gravel ,1002257,"Hitt Pit, Inc.",Babe's Dirt Work  ,ID ,Abandoned ,Surface
M ,Construction Sand and Gravel ,1601167,Bar-Lin Dirt Pit,Bar-Lin Dirt Company  ,LA ,Abandoned ,Surface
M ,Construction Sand and Gravel ,4103265,Barber'S Dirt Pit,Barber'S Dirt Pit  ,TX ,Abandoned ,Surface
M ,Construction Sand and Gravel ,1401575,BENDER SAND & DIRT,Bender Sand & Dirt  ,KS ,Intermittent ,Surface
M ,Construction Sand and Gravel ,1700776,BERT'S DIRT,BERT'S DIRT  ,ME ,Abandoned ,Surface
M ,Construction Sand and Gravel ,1601251,Dorothy V Pit,Big D Dirt Service Inc  ,LA ,Abandoned ,Surface
M ,Construction Sand and Gravel ,0301963,Big Red Dirt Farm,Big Red Dirt Farm LLC  ,AR ,Abandoned ,Surface
M ,Construction Sand and Gravel ,1601082,Big River Dirt Pit,Big River Dirt Pit  ,LA ,Abandoned ,Surface
